path,filename,languages,media,date,pid,designType,activityType,groupType
childes/Eng-NA/Brown/Sarah/030416,030416,eng,,1964-12-08,11312/c-00015764-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030426,030426,eng,,1965-12-18,11312/c-00015765-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030501,030501,eng,,1964-12-24,11312/c-00015766-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030507,030507,eng,,1964-12-30,11312/c-00015767-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030513,030513,eng,,,11312/c-00015768-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030520,030520,eng,,1965-01-12,11312/c-00015769-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030606,030606,eng,,1965-01-29,11312/c-00015770-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030616,030616,eng,,1965-02-08,11312/c-00015771-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030623,030623,eng,,1965-02-15,11312/c-00015772-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030630,030630,eng,,1965-02-22,11312/c-00015773-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030709,030709,eng,,1965-03-01,11312/c-00015774-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030716,030716,eng,,1965-03-08,11312/c-00015775-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030723,030723,eng,,1965-03-15,11312/c-00015776-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030730,030730,eng,,1965-03-22,11312/c-00015777-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030806,030806,eng,,1965-03-29,11312/c-00015778-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030812,030812,eng,,1965-04-05,11312/c-00015779-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030820,030820,eng,,1965-04-12,11312/c-00015780-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030827,030827,eng,,1965-04-19,11312/c-00015781-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030903,030903,eng,,1965-04-26,11312/c-00015782-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030918,030918,eng,,1965-05-10,11312/c-00015783-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030926a,030926a,eng,,1965-05-18,11312/c-00015784-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/030926b,030926b,eng,,1965-05-18,11312/c-00015785-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/031001,031001,eng,,1965-05-24,11312/c-00015786-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/031009,031009,eng,,1965-06-01,11312/c-00015787-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/031016,031016,eng,,1965-06-08,11312/c-00015788-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/031030,031030,eng,,1965-06-22,11312/c-00015789-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/031109,031109,eng,,1965-07-01,11312/c-00015790-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/031116,031116,eng,,1965-07-08,11312/c-00015791-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/031129,031129,eng,,1965-07-21,11312/c-00015792-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040005,040005,eng,,1965-07-28,11312/c-00015793-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040014,040014,eng,,1965-08-06,11312/c-00015794-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040028,040028,eng,,1965-08-20,11312/c-00015795-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040104,040104,eng,,,11312/c-00015796-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040111,040111,eng,,1965-09-03,11312/c-00015797-1,long,toyplay,TD
