filename,path,who,name,role,language,monthage,age,sex,numwords,numutts,avgutt,medianutt
nan28,childes/Eng-NA/Bates/Free28/nan28,CHI,,Target_Child,eng,28.0,2;04.00,female,187,76,2.4605262,2
olivia28,childes/Eng-NA/Bates/Free28/olivia28,MOT,,Mother,eng,,,female,389,92,4.228261,4
olivia28,childes/Eng-NA/Bates/Free28/olivia28,CHI,,Target_Child,eng,28.0,2;04.00,female,84,37,2.2702703,2
paula28,childes/Eng-NA/Bates/Free28/paula28,MOT,,Mother,eng,,,female,271,78,3.474359,3
paula28,childes/Eng-NA/Bates/Free28/paula28,CHI,,Target_Child,eng,28.0,2;04.00,female,193,76,2.5394738,3
pete28,childes/Eng-NA/Bates/Free28/pete28,MOT,,Mother,eng,,,female,423,98,4.3163266,4
pete28,childes/Eng-NA/Bates/Free28/pete28,CHI,,Target_Child,eng,28.0,2;04.00,male,41,19,2.1578948,2
rick28,childes/Eng-NA/Bates/Free28/rick28,MOT,,Mother,eng,,,female,184,51,3.6078432,3
rick28,childes/Eng-NA/Bates/Free28/rick28,CHI,,Target_Child,eng,28.0,2;04.00,male,28,23,1.2173913,1
ruth28,childes/Eng-NA/Bates/Free28/ruth28,MOT,,Mother,eng,,,female,414,123,3.3658535,3
ruth28,childes/Eng-NA/Bates/Free28/ruth28,CHI,,Target_Child,eng,28.0,2;04.00,female,139,95,1.4631579,1
steve28,childes/Eng-NA/Bates/Free28/steve28,CHI,,Target_Child,eng,28.0,2;04.00,male,66,37,1.7837838,1
steve28,childes/Eng-NA/Bates/Free28/steve28,MOT,,Mother,eng,,,female,327,80,4.0875,4
sue28,childes/Eng-NA/Bates/Free28/sue28,MOT,,Mother,eng,,,female,354,78,4.5384617,4
sue28,childes/Eng-NA/Bates/Free28/sue28,CHI,,Target_Child,eng,28.0,2;04.00,female,32,23,1.3913044,1
wanda28,childes/Eng-NA/Bates/Free28/wanda28,MOT,,Mother,eng,,,female,219,55,3.9818182,4
wanda28,childes/Eng-NA/Bates/Free28/wanda28,CHI,,Target_Child,eng,28.0,2;04.00,female,142,57,2.491228,2
will28,childes/Eng-NA/Bates/Free28/will28,MOT,,Mother,eng,,,female,358,109,3.2844036,3
will28,childes/Eng-NA/Bates/Free28/will28,CHI,,Target_Child,eng,28.0,2;04.00,male,125,80,1.5625,1
zeke28,childes/Eng-NA/Bates/Free28/zeke28,MOT,,Mother,eng,,,female,320,91,3.5164835,3
zeke28,childes/Eng-NA/Bates/Free28/zeke28,CHI,,Target_Child,eng,28.0,2;04.00,male,80,29,2.7586207,3
amy,childes/Eng-NA/Bates/Snack28/amy,MOT,,Mother,eng,,,female,207,71,2.915493,2
amy,childes/Eng-NA/Bates/Snack28/amy,CHI,,Target_Child,eng,28.0,2;04.00,female,123,54,2.2777777,2
betty,childes/Eng-NA/Bates/Snack28/betty,MOT,,Mother,eng,,,female,249,54,4.611111,4
betty,childes/Eng-NA/Bates/Snack28/betty,CHI,,Target_Child,eng,28.0,2;04.00,female,38,32,1.1875,1
chuck,childes/Eng-NA/Bates/Snack28/chuck,MOT,,Mother,eng,,,female,385,96,4.0104165,4
chuck,childes/Eng-NA/Bates/Snack28/chuck,CHI,,Target_Child,eng,28.0,2;04.00,male,48,31,1.548387,1
doug,childes/Eng-NA/Bates/Snack28/doug,CHI,,Target_Child,eng,28.0,2;04.00,male,79,31,2.548387,3
doug,childes/Eng-NA/Bates/Snack28/doug,MOT,,Mother,eng,,,female,316,66,4.787879,4
doug,childes/Eng-NA/Bates/Snack28/doug,INV,,Investigator,eng,,,,9,2,4.5,8
ed_snack,childes/Eng-NA/Bates/Snack28/ed_snack,MOT,,Mother,eng,,,female,261,47,5.5531917,6
ed_snack,childes/Eng-NA/Bates/Snack28/ed_snack,CHI,,Target_Child,eng,28.0,2;04.00,male,35,13,2.6923077,2
frank,childes/Eng-NA/Bates/Snack28/frank,MOT,,Mother,eng,,,female,368,107,3.4392524,3
frank,childes/Eng-NA/Bates/Snack28/frank,CHI,,Target_Child,eng,28.0,2;04.00,male,66,52,1.2692307,1
frank,childes/Eng-NA/Bates/Snack28/frank,INV,,Investigator,eng,,,,10,3,3.3333333,2
gloria,childes/Eng-NA/Bates/Snack28/gloria,MOT,,Mother,eng,,,female,293,79,3.7088609,3
gloria,childes/Eng-NA/Bates/Snack28/gloria,CHI,,Target_Child,eng,28.0,2;04.00,female,46,27,1.7037038,1
gloria,childes/Eng-NA/Bates/Snack28/gloria,INV,,Investigator,eng,,,,4,2,2.0,2
hank,childes/Eng-NA/Bates/Snack28/hank,MOT,,Mother,eng,,,female,534,92,5.804348,5
hank,childes/Eng-NA/Bates/Snack28/hank,CHI,,Target_Child,eng,28.0,2;04.00,male,94,35,2.6857142,3
hank,childes/Eng-NA/Bates/Snack28/hank,INV,,Investigator,eng,,,,71,13,5.4615383,4
ivy,childes/Eng-NA/Bates/Snack28/ivy,MOT,,Mother,eng,,,female,299,69,4.3333335,4
ivy,childes/Eng-NA/Bates/Snack28/ivy,CHI,,Target_Child,eng,28.0,2;04.00,female,91,46,1.9782609,1
keith,childes/Eng-NA/Bates/Snack28/keith,CHI,,Target_Child,eng,28.0,2;04.00,male,58,21,2.7619047,2
keith,childes/Eng-NA/Bates/Snack28/keith,MOT,,Mother,eng,,,female,151,38,3.9736843,4
kent,childes/Eng-NA/Bates/Snack28/kent,MOT,,Mother,eng,,,female,260,69,3.768116,3
kent,childes/Eng-NA/Bates/Snack28/kent,CHI,,Target_Child,eng,28.0,2;04.00,male,134,59,2.2711864,2
kent,childes/Eng-NA/Bates/Snack28/kent,INV,,Investigator,eng,,,,4,1,4.0,4
linda,childes/Eng-NA/Bates/Snack28/linda,MOT,,Mother,eng,,,female,337,75,4.4933333,4
linda,childes/Eng-NA/Bates/Snack28/linda,CHI,,Target_Child,eng,28.0,2;04.00,female,69,32,2.15625,2
linda,childes/Eng-NA/Bates/Snack28/linda,INV,,Investigator,eng,,,,2,1,2.0,2
mandy,childes/Eng-NA/Bates/Snack28/mandy,MOT,,Mother,eng,,,female,218,58,3.7586207,3
mandy,childes/Eng-NA/Bates/Snack28/mandy,CHI,,Target_Child,eng,28.0,2;04.00,female,84,39,2.1538463,2
nan,childes/Eng-NA/Bates/Snack28/nan,MOT,,Mother,eng,,,female,531,119,4.462185,4
nan,childes/Eng-NA/Bates/Snack28/nan,CHI,,Target_Child,eng,28.0,2;04.00,female,105,60,1.75,1
olivia,childes/Eng-NA/Bates/Snack28/olivia,CHI,,Target_Child,eng,28.0,2;04.00,female,82,37,2.2162163,2
olivia,childes/Eng-NA/Bates/Snack28/olivia,MOT,,Mother,eng,,,female,319,80,3.9875,4
olivia,childes/Eng-NA/Bates/Snack28/olivia,INV,,Investigator,eng,,,,37,9,4.111111,4
paula,childes/Eng-NA/Bates/Snack28/paula,MOT,,Mother,eng,,,female,325,70,4.642857,4
paula,childes/Eng-NA/Bates/Snack28/paula,CHI,,Target_Child,eng,28.0,2;04.00,female,53,26,2.0384614,2
paula,childes/Eng-NA/Bates/Snack28/paula,INV,,Investigator,eng,,,,4,1,4.0,4
pete,childes/Eng-NA/Bates/Snack28/pete,MOT,,Mother,eng,,,female,286,77,3.7142856,3
pete,childes/Eng-NA/Bates/Snack28/pete,CHI,,Target_Child,eng,28.0,2;04.00,male,52,30,1.7333333,2
pete,childes/Eng-NA/Bates/Snack28/pete,INV,,Investigator,eng,,,,5,2,2.5,4
pete,childes/Eng-NA/Bates/Snack28/pete,FAT,,Father,eng,,,male,23,6,3.8333333,5
rick,childes/Eng-NA/Bates/Snack28/rick,MOT,,Mother,eng,,,female,141,45,3.1333334,3
